campaign,covariate,smd,treatment_mean,control_mean
Men's merchandise,recency_months,0.006831532454259954,5.773642464917633,5.749694921618324
Men's merchandise,bought_mens,-0.0045823256374879625,0.5509456985967053,0.5532244438186427
Men's merchandise,bought_womens,0.007588929691887142,0.551415027925095,0.5476391626771802
Men's merchandise,newbie,-0.0008918953696535328,0.5015253203172666,0.5019712756969867
Men's merchandise,log_prior_spend,-0.0011678531088418075,5.003654939545963,5.004846169751025
Men's merchandise,prior_channel_Multichannel,-0.004181536419632754,0.1209461679260337,0.12231296348446447
Men's merchandise,prior_channel_Phone,-0.008275992307117473,0.43366029943211154,0.4377640101379893
Men's merchandise,prior_channel_Web,0.011013588354428299,0.4453935326418548,0.4399230263775462
Men's merchandise,area_type_Rural,0.01365900039927897,0.1522035011967898,0.14732939078193935
Men's merchandise,area_type_Suburban,-0.01174335672606268,0.44590979490308347,0.4517506805594668
Men's merchandise,area_type_Urban,0.0019722315768513645,0.4018867039001267,0.4009199286585938
Women's merchandise,recency_months,0.005180013205688683,5.767849628278861,5.749694921618324
Women's merchandise,bought_mens,-0.008630731202832915,0.548931593958947,0.5532244438186427
Women's merchandise,bought_womens,0.004946313992582152,0.5501005283583486,0.5476391626771802
Women's merchandise,newbie,0.0025567009140795606,0.5032496376303361,0.5019712756969867
Women's merchandise,log_prior_spend,0.006481166552043577,5.011439882621844,5.004846169751025
Women's merchandise,prior_channel_Multichannel,-0.00528289712504171,0.12058727264225931,0.12231296348446447
Women's merchandise,prior_channel_Phone,0.008622833281250204,0.4420442324776733,0.4377640101379893
Women's merchandise,prior_channel_Web,-0.005147863897421752,0.43736849488006735,0.4399230263775462
Women's merchandise,area_type_Rural,0.00395850560137286,0.14873521297984757,0.14732939078193935
Women's merchandise,area_type_Suburban,-0.0010891197386245202,0.45120867816898114,0.4517506805594668
Women's merchandise,area_type_Urban,-0.0017628666291550237,0.40005610885117127,0.4009199286585938
